id,title,author,year,language
205,Nothing to Envy,Barbara Demick,2009,English
206,Noughts & Crosses,Malorie Blackman,2001,English
207,Of Human Bondage,W. Somerset Maugham,1915,English
208,On Writing,Stephen King,2000,English
209,One Flew Over the Cuckoo's Nest,Ken Kesey,1962,English
210,Oryx and Crake,Margaret Atwood,2003,English
211,Oscar And Lucinda,Peter Carey,1988,English
212,Our Lady of the Flowers,Jean Genet,1944,French
213,Outline,Rachel Cusk,2014,English
214,Parade's End,Ford Madox Ford,1924,English
215,Paroles,Jacques Pr?vert,1946,French
216,Persepolis,Marjane Satrapi,2000,French
217,Pilgrim's Progress,John Bunyan,1678,English
218,Play It As It Lays,Joan Didion,1970,English
219,Point Counter Point,Aldous Huxley,1928,English
220,Possession,A.S. Byatt,1990,English
221,Postwar,Tony Judt,2005,English
222,Priestdaddy,Patricia Lockwood,2017,English
223,"Rabbit, Run",John Updike,1960,English
224,Rapture,Carol Ann Duffy,2005,English
225,Red Harvest,Dashiell Hammett,1929,English
226,Revolutionary Road,Richard Yates,1961,English
227,Robinson Crusoe,Daniel Defoe,1719,English
228,Sapiens,Yuval Noah Harari,2011,Hebrew
229,Second Thoughts,Michel Butor,1957,French
230,Secondhand Time,Svetlana Alexievich,2013,Russian
231,Seven Brief Lessons on Physics,Carlo Rovelli,2014,English
232,Signs Preceding the End of the World,Yuri Herrera,2009,Spanish
233,Sister Carrie,Theodore Dreiser,1900,English
234,Six Characters in Search of an Author,Luigi Pirandello,1921,Italian
235,Small Island,Andrea Levy,2004,English
236,Snow Crash,Neal Stephenson,1992,English
237,Song of Solomon,Toni Morrison,1977,English
238,Sons and Lovers,D.H. Lawrence,1913,English
239,Stories of Your Life and Others,Ted Chiang,2002,English
240,Studs Lonigan,James T. Farrell,1932,English
241,Sybil,Benjamin Disraeli,1845,English
242,Tell Me How It Ends,Valeria Luiselli,2016,English
243,Tender Is the Night,F. Scott Fitzgerald,1934,English
